filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
google_8_cpu-1.out,google,8,cpu,1,1,144,10340.7,71.81041666666667,0.4176,0.4505936068134815,0.18816789020530988,1.1068699423841755
google_8_cpu-1.out,google,8,cpu,1,2,144,10309.1,71.59097222222222,0.4176,0.4492166441344263,0.18759287059053645,1.103487474061979
google_8_cpu-1.out,google,8,cpu,1,3,144,10306.4,71.57222222222222,0.4176,0.44909899225995004,0.18754373916775516,1.1031984656926772
google_8_cpu-1.out,google,8,cpu,1,4,144,10465.3,72.67569444444445,0.4176,0.4560230229467181,0.19043521438254948,1.1202071434267613
google_8_cpu-1.out,google,8,cpu,1,5,144,10306.4,71.57222222222222,0.4176,0.44909899225995004,0.18754373916775516,1.1031984656926772
google_8_cpu-1.out,google,8,cpu,1,6,144,10307.7,71.58125000000001,0.4176,0.449155639458772,0.1875673950379832,1.1033376178704892
google_8_cpu-1.out,google,8,cpu,1,7,144,10311.3,71.60624999999999,0.4176,0.4493125086247402,0.18763290360169152,1.103722962362891
google_8_cpu-1.out,google,8,cpu,1,8,144,10329.9,71.73541666666667,0.4176,0.45012299931557653,0.18797136451418478,1.105713908906969
google_8_cpu-1.out,google,8,cpu,1,9,144,10302.5,71.54513888888889,0.4176,0.4489290506634844,0.1874727715570711,1.1027810091592414
google_8_cpu-1.out,google,8,cpu,1,10,144,10464.9,72.67291666666667,0.4176,0.45600559303938826,0.19042793565324856,1.12016432737205
google_8_cpu-2.out,google,8,cpu,2,1,144,10308.0,71.58333333333333,0.4176,0.44916871188926927,0.18757285408495886,1.1033697299115224
google_8_cpu-2.out,google,8,cpu,2,2,144,10316.0,71.63888888888889,0.4176,0.44951731003586554,0.18771842867097746,1.1042260510057496
google_8_cpu-2.out,google,8,cpu,2,3,144,10307.6,71.58055555555556,0.4176,0.44915128198193954,0.18756557535565796,1.1033269138568114
google_8_cpu-2.out,google,8,cpu,2,4,144,10313.3,71.62013888888889,0.4176,0.4493996581613893,0.1876692972481962,1.1039370426364479
google_8_cpu-2.out,google,8,cpu,2,5,144,10324.199999999999,71.69583333333333,0.4176,0.44987462313612664,0.18786764262164649,1.105103780127332
google_8_cpu-2.out,google,8,cpu,2,6,144,10467.7,72.69236111111111,0.4176,0.45612760239069694,0.19047888675835506,1.1204640397550294
google_8_cpu-2.out,google,8,cpu,2,7,144,10306.4,71.57222222222222,0.4176,0.44909899225995004,0.18754373916775516,1.1031984656926772
google_8_cpu-2.out,google,8,cpu,2,8,144,10315.699999999999,71.63680555555555,0.4176,0.4495042376053682,0.18771296962400177,1.104193938964716
google_8_cpu-2.out,google,8,cpu,2,9,144,10309.0,71.59027777777777,0.4176,0.4492122866575938,0.18759105090821118,1.1034767700483008
google_8_cpu-2.out,google,8,cpu,2,10,144,10306.1,71.57013888888889,0.4176,0.44908591982945273,0.18753828012077947,1.1031663536516436
google_8_cpu-3.out,google,8,cpu,3,1,144,10314.3,71.62708333333333,0.4176,0.44944323292971383,0.1876874940714485,1.1040440827732263
google_8_cpu-3.out,google,8,cpu,3,2,144,10460.599999999999,72.64305555555555,0.4176,0.45581822153559276,0.19034968931326354,1.119704054783903
